Gender_Male,Customer Type_disloyal Customer,Type of Travel_Personal Travel,Class_Eco,Class_Eco Plus,satisfaction_satisfied,Age,Flight Distance,Inflight entertainment,Baggage handling,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes
0,1,0,0,1,0,23,764,2,5,2,0,0.0
1,1,0,0,0,0,64,282,4,3,4,0,0.0
0,1,0,0,0,0,32,895,2,5,2,10,2.0
0,1,0,1,0,0,44,1448,5,4,5,0,0.0
0,1,0,1,0,0,16,1464,1,4,1,5,28.0
1,1,0,1,0,0,21,1202,4,4,3,7,32.0
1,1,0,1,0,0,35,1152,1,1,1,0,0.0
1,1,0,0,0,0,37,1562,4,5,4,0,0.0
0,1,0,1,0,0,17,714,5,2,5,14,9.0
0,1,0,1,0,0,18,143,1,5,1,0,5.0
0,1,0,1,0,0,21,231,1,4,1,0,0.0
0,1,0,0,0,0,33,577,4,5,4,0,0.0
1,1,0,0,0,0,28,1188,3,4,3,0,0.0
0,1,0,1,0,0,15,1183,4,4,4,34,41.0
0,1,0,1,0,0,24,2640,4,4,5,0,33.0
0,1,0,1,0,0,30,1069,5,3,5,28,23.0
0,1,0,1,0,0,38,237,4,3,2,196,214.0
1,1,0,1,0,0,25,370,3,1,3,0,0.0
1,1,0,0,0,0,27,227,2,4,2,0,8.0
0,1,0,1,0,1,20,349,1,4,1,9,0.0
1,1,0,1,0,0,34,860,3,2,3,0,0.0
0,1,0,0,0,1,27,1310,3,5,3,0,0.0
0,1,0,1,0,1,54,1031,4,1,4,0,8.0
1,1,0,0,0,0,26,386,3,5,3,1,10.0
0,1,0,0,1,0,33,338,1,2,1,17,8.0
1,1,0,0,0,0,40,857,4,5,4,0,0.0
0,1,0,1,0,0,25,116,1,3,4,140,133.0
0,1,0,1,0,0,20,435,5,3,5,0,0.0
1,1,0,0,0,0,26,589,4,5,4,0,0.0
1,1,0,1,0,0,28,1220,3,3,3,20,9.0
0,1,0,0,0,1,25,920,1,4,1,0,0.0
1,1,0,0,0,0,25,997,5,4,5,20,41.0
0,1,0,0,0,0,27,1521,4,5,4,1,0.0
1,1,0,0,0,1,29,1070,3,4,3,2,0.0
1,1,0,0,0,1,27,1744,1,4,1,10,0.0
1,1,0,1,0,0,19,283,1,3,1,22,19.0
1,1,0,0,0,1,22,1154,2,4,2,0,0.0
0,1,0,0,0,1,40,594,4,5,4,0,0.0
0,1,0,1,0,1,22,320,5,4,5,0,14.0
0,1,0,1,0,0,25,602,4,4,4,18,18.0
1,1,0,1,0,0,63,749,1,4,1,0,17.0
0,1,0,0,0,1,27,500,3,5,3,0,0.0
1,1,0,0,0,1,50,575,3,4,3,0,0.0
0,1,0,0,0,0,34,2342,1,4,1,0,0.0
0,1,0,0,0,0,28,280,4,4,4,0,0.0
1,1,0,1,0,0,16,758,3,4,3,2,0.0
0,1,0,1,0,0,21,569,2,3,2,0,0.0
1,1,0,0,0,1,18,491,1,4,1,0,0.0
0,1,0,1,0,0,48,170,5,1,5,21,50.0
0,1,0,0,0,0,42,977,4,5,3,131,125.0
1,1,0,0,0,0,44,1660,1,4,1,11,7.0
0,1,0,0,0,0,27,1028,1,4,4,170,164.0
0,1,0,0,0,1,48,2158,4,4,4,12,0.0
0,1,0,1,0,0,21,547,2,4,2,0,4.0
0,1,0,0,0,1,24,1130,4,5,4,26,15.0
0,1,0,1,0,0,25,221,3,3,3,0,0.0
0,1,0,1,0,1,29,964,1,2,1,0,0.0
1,1,0,1,0,0,20,236,4,3,4,0,0.0
1,1,0,0,0,0,37,1723,3,3,3,23,5.0
1,1,0,0,0,0,39,370,5,5,5,11,9.0
0,1,0,1,0,0,22,779,1,5,1,126,110.0
0,1,0,1,0,0,25,1189,4,4,4,31,29.0
0,1,0,1,0,1,22,1136,4,4,4,100,104.0
1,1,0,0,0,1,21,89,3,5,3,0,0.0
0,1,0,1,0,0,27,460,4,2,4,62,43.0
1,1,0,0,0,0,36,1126,1,5,1,13,5.0
1,1,0,0,0,1,25,1235,4,5,4,10,0.0
1,1,0,0,0,1,28,666,2,5,2,41,68.0
1,1,0,0,0,0,42,296,4,4,4,13,0.0
0,1,0,1,0,0,30,933,3,3,3,4,3.0
0,1,0,0,0,0,25,577,2,5,2,26,22.0
0,1,0,1,0,0,21,689,5,3,5,0,0.0
0,1,0,0,0,0,59,134,2,5,2,11,12.0
0,1,0,1,0,0,27,620,3,4,3,0,0.0
0,1,0,0,0,0,37,158,5,4,5,0,0.0
1,1,0,1,0,0,19,1788,5,3,5,19,3.0
0,1,0,1,0,0,50,100,2,3,2,0,10.0
0,1,0,0,0,0,39,946,5,4,5,0,25.0
0,1,0,1,0,0,25,604,1,5,1,0,0.0
0,1,0,0,0,0,42,431,3,4,3,0,4.0
0,1,0,1,0,0,37,404,1,4,1,0,0.0
1,1,0,0,0,1,27,1258,1,5,1,0,0.0
0,1,0,1,0,0,27,486,5,3,5,10,4.0
1,1,0,1,0,0,24,1172,3,4,3,0,0.0
1,1,0,0,0,0,31,1075,1,3,1,3,4.0
0,1,0,1,0,0,36,846,1,3,1,5,0.0
1,1,0,0,0,0,33,337,2,4,2,87,75.0
0,1,0,0,0,0,44,1744,4,4,4,0,0.0
0,1,0,1,0,0,26,934,1,2,1,0,0.0
0,1,0,1,0,0,37,251,3,3,3,0,0.0
0,1,0,1,0,0,27,472,3,4,3,8,5.0
0,1,0,1,0,0,23,419,1,4,1,0,6.0
0,1,0,0,0,0,40,325,3,1,3,11,5.0
0,1,0,1,0,0,27,356,2,2,2,0,0.0
0,1,0,1,0,0,49,216,4,3,4,0,23.0
0,1,0,1,0,1,22,1723,2,4,2,0,0.0
0,1,0,1,0,0,11,491,4,5,4,0,0.0
0,1,0,1,0,0,26,591,4,5,4,3,0.0
1,1,0,1,0,0,21,666,5,4,5,0,0.0
0,1,0,1,0,0,22,404,5,5,5,0,17.0
1,1,0,1,0,0,23,361,4,5,4,5,0.0
0,1,0,1,0,0,37,606,5,3,5,0,0.0
0,1,0,0,0,1,26,425,2,4,2,0,0.0
1,1,0,1,0,0,47,337,1,3,1,10,7.0
0,1,0,1,0,0,23,700,3,4,3,0,0.0
0,1,0,0,0,0,39,1460,3,3,3,24,16.0
0,1,0,1,0,0,22,571,4,4,4,0,0.0
0,1,0,0,0,0,26,1005,2,5,2,39,33.0
1,1,1,1,0,0,40,1013,1,4,1,0,0.0
1,1,0,1,0,0,17,1324,4,4,4,49,40.0
0,1,0,1,0,1,27,633,1,1,1,0,0.0
1,1,0,1,0,0,8,787,4,5,4,0,0.0
1,1,0,1,0,0,22,109,2,4,2,5,3.0
1,1,0,1,0,0,35,302,3,4,3,0,0.0
1,1,0,1,0,1,24,737,2,4,2,0,2.0
1,1,0,1,0,0,20,140,4,1,4,0,0.0
1,1,0,1,0,0,61,399,4,3,4,1,4.0
1,1,0,1,0,0,39,671,1,4,1,0,0.0
0,1,0,1,0,0,27,272,3,1,3,0,3.0
0,1,0,0,1,0,26,1979,4,2,4,20,0.0
0,1,0,0,0,0,34,1635,5,5,5,18,29.0
1,1,0,0,0,0,25,888,1,5,1,5,9.0
1,1,0,0,0,1,22,296,1,5,1,0,0.0
1,1,0,0,0,0,35,1587,5,4,5,0,0.0
0,1,0,0,1,0,36,401,1,5,1,0,0.0
0,1,0,1,0,0,46,862,3,4,3,0,0.0
0,1,0,0,0,1,23,1275,3,4,4,4,0.0
0,1,0,1,0,0,48,1181,3,3,3,16,0.0
0,1,0,1,0,0,26,528,4,4,4,18,17.0
0,1,0,1,0,0,23,700,1,4,1,0,0.0
0,1,0,1,0,0,49,812,3,4,3,36,13.0
1,1,0,0,0,1,23,883,5,5,5,0,0.0
0,1,0,1,0,0,24,283,5,3,5,45,65.0
1,1,0,0,0,1,26,216,4,1,4,3,5.0
1,1,0,0,0,1,29,1399,3,5,3,0,0.0
1,1,0,0,0,0,45,1182,3,4,3,30,1.0
0,1,0,1,0,1,27,563,2,3,2,0,0.0
0,1,0,0,0,0,40,1605,5,3,5,1,0.0
1,1,0,0,0,0,25,368,2,5,2,0,0.0
1,1,0,1,0,0,15,987,4,4,4,4,6.0
0,1,0,1,0,0,27,601,5,4,5,0,0.0
1,1,0,1,0,0,33,546,3,4,3,0,3.0
0,1,0,0,0,1,22,641,3,5,3,0,0.0
0,1,0,1,0,0,45,296,3,4,3,0,6.0
0,1,0,0,1,0,9,646,2,3,2,4,0.0
1,1,0,0,0,1,25,236,1,5,1,3,0.0
0,1,0,1,0,0,24,143,2,3,2,4,26.0
1,1,0,1,0,0,27,153,3,3,3,0,0.0
0,1,0,0,0,0,34,760,3,4,3,95,71.0
1,1,0,0,0,0,38,606,3,4,3,0,0.0
0,1,0,1,0,0,24,1050,1,2,1,0,0.0
0,1,0,1,0,0,24,296,5,4,5,9,0.0
0,1,0,1,0,0,24,605,1,4,1,0,0.0
1,1,0,0,0,1,23,1189,1,5,1,0,0.0
1,1,0,1,0,1,21,391,3,5,3,0,0.0
1,1,0,1,0,0,20,748,4,4,4,0,0.0
1,1,0,1,0,0,24,1422,3,5,3,0,0.0
1,1,0,0,0,0,26,1138,5,4,4,285,285.0
0,1,0,0,0,1,26,596,4,4,4,0,1.0
1,1,0,0,0,1,37,108,3,5,3,0,5.0
1,1,0,1,0,0,9,1208,4,3,4,54,58.0
0,1,0,0,0,1,39,651,5,4,5,0,0.0
0,1,0,0,0,1,21,448,4,2,4,8,11.0
1,1,0,0,0,0,70,408,2,5,2,0,0.0
1,1,0,0,0,1,25,1074,4,3,4,0,0.0
1,1,0,1,0,0,24,770,4,4,4,32,35.0
0,1,0,0,0,0,29,626,3,4,3,5,9.0
0,1,0,0,1,0,27,101,1,2,1,0,0.0
0,1,0,1,0,0,38,632,1,3,1,5,16.0
1,1,0,0,0,0,25,594,5,4,5,19,60.0
0,1,0,1,0,1,62,86,3,1,3,67,81.0
0,1,0,1,0,0,22,259,4,2,4,34,27.0
0,1,0,1,0,0,44,95,5,4,5,0,0.0
1,1,0,1,0,0,38,151,2,4,2,0,0.0
0,1,0,0,0,1,18,733,3,5,4,4,0.0
0,1,0,1,0,0,17,1089,3,4,3,0,0.0
0,1,0,0,0,0,25,624,5,4,5,0,0.0
0,1,0,0,0,0,36,550,1,4,1,0,2.0
1,1,0,1,0,0,24,83,5,3,5,0,0.0
0,1,0,0,0,0,26,631,2,4,2,0,0.0
1,1,0,1,0,0,37,687,5,5,5,0,0.0
0,1,0,0,0,0,60,1009,2,4,2,0,20.0
0,1,0,1,0,0,24,1050,2,4,2,21,46.0
0,1,0,0,0,1,22,337,2,4,2,0,0.0
0,1,0,1,0,0,31,1042,4,2,4,0,0.0
1,1,0,1,0,0,37,623,3,4,3,30,13.0
0,1,0,1,0,0,49,251,4,3,4,0,0.0
0,1,0,0,0,0,38,359,4,4,4,0,0.0
0,1,0,1,0,0,22,414,1,4,1,9,0.0
1,1,0,0,0,0,32,227,2,5,2,7,18.0
1,1,0,0,0,1,23,590,4,4,4,0,2.0
1,1,0,1,0,0,18,302,1,3,1,0,0.0
0,1,0,0,0,0,26,868,3,5,3,0,6.0
1,1,0,0,0,0,25,216,2,5,2,4,0.0
1,1,0,1,0,0,22,888,3,5,3,0,0.0
0,1,0,0,1,0,25,811,5,5,5,0,0.0
1,1,0,1,0,0,45,369,1,4,1,0,0.0
1,1,0,0,0,0,26,689,5,5,5,0,0.0
1,1,0,0,0,0,28,860,2,5,2,62,54.0
0,1,0,1,0,0,24,933,1,2,1,0,10.0
0,1,0,1,0,0,26,693,3,1,3,0,0.0
0,1,0,1,0,0,23,1056,4,1,4,0,0.0
0,1,0,1,0,0,32,533,2,3,2,20,24.0
1,1,0,1,0,0,23,332,2,4,2,0,0.0
0,1,0,0,0,0,38,297,5,3,5,0,2.0
0,1,0,1,0,0,21,826,3,5,3,0,0.0
1,1,0,1,0,0,20,888,4,3,4,0,0.0
1,1,0,0,0,1,39,458,1,4,1,0,0.0
0,1,0,0,0,1,22,447,4,4,4,190,186.0
0,1,0,0,0,1,40,250,2,5,2,0,13.0
0,1,0,1,0,0,34,309,2,5,3,168,165.0
1,1,0,0,0,0,37,419,5,4,5,23,26.0
0,1,0,1,0,0,25,102,1,3,1,0,0.0
1,1,0,0,0,0,34,1491,1,5,1,59,46.0
1,1,0,1,0,0,42,910,5,3,5,0,0.0
1,1,0,1,0,0,15,545,2,4,2,0,0.0
1,1,0,0,0,0,32,534,1,4,1,0,0.0
0,1,0,0,0,0,26,986,3,4,3,5,0.0
1,1,0,1,0,1,25,782,5,3,5,0,32.0
1,1,0,1,0,0,21,90,1,4,1,0,0.0
1,1,0,1,0,0,36,550,2,3,2,0,0.0
1,1,0,1,0,1,23,596,3,4,3,0,0.0
1,1,0,0,0,1,20,679,2,5,2,25,6.0
0,1,0,0,0,0,33,189,3,4,5,324,323.0
0,1,0,0,0,0,36,1846,4,3,4,11,4.0
0,1,0,0,1,0,38,1126,2,4,2,20,13.0
0,1,0,1,0,0,8,849,4,3,4,39,29.0
1,1,0,0,0,1,20,612,3,5,3,0,0.0
